month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,dest,air_time,distance,hour,minute,carrier_name,dest_name
12,16,2150,55,2350,53,AS,N517AS,624,LAS,104,763,21,50,Alaska Airlines Inc.,Mc Carran Intl
9,1,534,-1,846,-24,WN,N7728D,470,DEN,115,991,5,34,Southwest Airlines Co.,Denver Intl
7,8,2045,-10,2308,-9,AS,N583AS,598,SAN,124,933,20,45,Alaska Airlines Inc.,San Diego Intl
4,27,1147,-4,1742,-10,UA,N37422,1175,IAH,216,1825,11,47,United Air Lines Inc.,George Bush Intercontinental
3,7,907,62,1434,49,AA,N4YNAA,1220,DFW,190,1616,9,7,American Airlines Inc.,Dallas Fort Worth Intl
12,21,2109,39,22,19,US,N581UW,577,PHX,112,1009,21,9,US Airways Inc.,Phoenix Sky Harbor Intl
1,25,1006,-9,1547,-17,AS,N589AS,658,DFW,200,1616,10,6,Alaska Airlines Inc.,Dallas Fort Worth Intl
9,11,535,-5,909,-1,UA,N453UA,789,DEN,130,991,5,35,United Air Lines Inc.,Denver Intl
10,29,1235,-10,1456,-4,AS,N612AS,588,PSP,122,873,12,35,Alaska Airlines Inc.,Palm Springs Intl
5,14,1003,-12,1300,-10,HA,N392HA,25,HNL,336,2603,10,3,Hawaiian Airlines Inc.,Honolulu Intl
11,9,929,-1,1259,-16,OO,N225AG,3466,TUS,138,1119,9,29,SkyWest Airlines Inc.,Tucson Intl
2,27,1206,-4,1752,-3,AA,N4YJAA,1568,DFW,194,1616,12,6,American Airlines Inc.,Dallas Fort Worth Intl
12,27,1845,30,2019,15,OO,N924SW,5483,SFO,77,550,18,45,SkyWest Airlines Inc.,San Francisco Intl
5,20,1225,-5,1409,-8,AS,N612AS,388,SFO,84,550,12,25,Alaska Airlines Inc.,San Francisco Intl
4,9,638,38,818,35,AS,N760AS,406,SJC,86,569,6,38,Alaska Airlines Inc.,Norman Y Mineta San Jose Intl
1,10,1252,27,1426,21,WN,N432WN,3740,OAK,80,543,12,52,Southwest Airlines Co.,Metropolitan Oakland Intl
12,31,1027,-4,1306,-4,DL,N818DA,2189,SLC,86,630,10,27,Delta Air Lines Inc.,Salt Lake City Intl
4,28,1539,9,2106,-9,AA,N4WLAA,157,DFW,179,1616,15,39,American Airlines Inc.,Dallas Fort Worth Intl
10,12,723,3,1229,-11,WN,N728SW,826,MCI,174,1482,7,23,Southwest Airlines Co.,Kansas City Intl
12,2,1218,23,1742,7,AA,N4WMAA,1453,DFW,180,1616,12,18,American Airlines Inc.,Dallas Fort Worth Intl
9,18,1816,-4,2107,2,DL,N3737C,952,SLC,92,630,18,16,Delta Air Lines Inc.,Salt Lake City Intl
5,21,1453,8,1821,11,F9,N201FR,792,DEN,133,991,14,53,Frontier Airlines Inc.,Denver Intl
7,28,2118,8,2354,-5,AS,N566AS,145,FAI,197,1640,21,18,Alaska Airlines Inc.,Fairbanks Intl
11,12,1902,7,2058,3,AS,N713AS,386,SFO,89,550,19,2,Alaska Airlines Inc.,San Francisco Intl
1,2,1906,41,2046,56,WN,N724SW,718,SMF,65,479,19,6,Southwest Airlines Co.,Sacramento Intl
2,21,1950,-5,2133,-5,AS,N788AS,404,SJC,85,569,19,50,Alaska Airlines Inc.,Norman Y Mineta San Jose Intl
2,10,1204,38,1342,27,OO,N938SW,5263,SFO,85,550,12,4,SkyWest Airlines Inc.,San Francisco Intl
10,1,654,-6,1203,-11,DL,N3752,2515,MSP,171,1426,6,54,Delta Air Lines Inc.,Minneapolis St Paul Intl
3,16,1540,10,1716,6,WN,N438WN,498,OAK,84,543,15,40,Southwest Airlines Co.,Metropolitan Oakland Intl
5,12,1922,42,2038,33,WN,N600WN,758,SMF,65,479,19,22,Southwest Airlines Co.,Sacramento Intl
8,4,1358,8,2231,168,UA,N77431,1175,ORD,234,1739,13,58,United Air Lines Inc.,Chicago Ohare Intl
10,30,1416,11,1952,-13,WN,N8622A,893,MDW,201,1751,14,16,Southwest Airlines Co.,Chicago Midway Intl
8,27,1055,-5,1829,-10,DL,N172DZ,907,ATL,254,2172,10,55,Delta Air Lines Inc.,Hartsfield Jackson Atlanta Intl
6,5,850,-5,1122,-6,US,N602AW,507,PHX,135,1009,8,50,US Airways Inc.,Phoenix Sky Harbor Intl
4,15,706,-4,930,-12,AS,N532AS,644,PHX,126,1009,7,6,Alaska Airlines Inc.,Phoenix Sky Harbor Intl
9,4,809,44,954,25,AS,N513AS,244,SFO,81,550,8,9,Alaska Airlines Inc.,San Francisco Intl
10,2,2234,-1,108,-19,AS,N462AS,143,ANC,197,1542,22,34,Alaska Airlines Inc.,Ted Stevens Anchorage Intl
8,1,1453,-2,2100,5,WN,N8312C,2463,MDW,227,1751,14,53,Southwest Airlines Co.,Chicago Midway Intl
5,23,523,3,756,2,US,N189UW,425,PHX,139,1009,5,23,US Airways Inc.,Phoenix Sky Harbor Intl
5,31,541,-4,734,2,OO,N932EV,6332,SFO,87,550,5,41,SkyWest Airlines Inc.,San Francisco Intl
10,1,550,0,911,-4,WN,N551WN,470,DEN,121,991,5,50,Southwest Airlines Co.,Denver Intl
4,21,1413,-6,1943,-32,UA,N562UA,464,ORD,188,1739,14,13,United Air Lines Inc.,Chicago Ohare Intl
12,23,725,0,911,-18,AS,N305AS,244,SFO,81,550,7,25,Alaska Airlines Inc.,San Francisco Intl
4,24,717,-3,1016,-24,AS,N508AS,855,KOA,342,2607,7,17,Alaska Airlines Inc.,Kona Intl At Keahole
3,1,940,-5,1226,-24,AS,N794AS,131,ANC,209,1542,9,40,Alaska Airlines Inc.,Ted Stevens Anchorage Intl
2,4,1504,39,1609,24,WN,N416WN,4125,RNO,56,444,15,4,Southwest Airlines Co.,Reno Tahoe Intl
7,12,1540,15,1721,11,WN,N265WN,4616,OAK,87,543,15,40,Southwest Airlines Co.,Metropolitan Oakland Intl
9,11,2111,2,452,-23,B6,N571JB,1206,JFK,266,2454,21,11,JetBlue Airways,John F Kennedy Intl
8,5,718,-2,1050,0,UA,N39463,1610,DEN,130,991,7,18,United Air Lines Inc.,Denver Intl
5,31,2040,-15,2255,-14,AS,N320AS,566,LAX,113,834,20,40,Alaska Airlines Inc.,Los Angeles Intl
3,29,1944,-6,2206,-27,AS,N315AS,137,ANC,188,1542,19,44,Alaska Airlines Inc.,Ted Stevens Anchorage Intl
11,17,1758,-7,2130,-3,US,N912UY,600,PHX,121,1009,17,58,US Airways Inc.,Phoenix Sky Harbor Intl
7,15,1036,-10,1222,-22,OO,N905SW,5196,SFO,89,550,10,36,SkyWest Airlines Inc.,San Francisco Intl
1,15,625,-5,905,-10,WN,N409WN,3156,SLC,81,630,6,25,Southwest Airlines Co.,Salt Lake City Intl
6,1,1640,25,1922,22,WN,N941WN,3484,SLC,88,630,16,40,Southwest Airlines Co.,Salt Lake City Intl
9,16,546,-4,1128,-30,UA,N39416,1173,IAH,206,1825,5,46,United Air Lines Inc.,George Bush Intercontinental
1,16,2044,-1,2255,-7,AS,N532AS,574,SAN,117,933,20,44,Alaska Airlines Inc.,San Diego Intl
6,10,918,-2,1805,20,AS,N579AS,30,BOS,328,2537,9,18,Alaska Airlines Inc.,General Edward Lawrence Logan Intl
10,11,1749,-1,1912,-23,WN,N760SW,929,OAK,71,543,17,49,Southwest Airlines Co.,Metropolitan Oakland Intl
7,25,714,-1,1001,-9,AS,N435AS,833,HNL,330,2603,7,14,Alaska Airlines Inc.,Honolulu Intl
8,13,716,1,940,-30,AS,N408AS,833,HNL,310,2603,7,16,Alaska Airlines Inc.,Honolulu Intl
6,17,1508,-2,1733,-14,US,N679AW,494,PHX,129,1009,15,8,US Airways Inc.,Phoenix Sky Harbor Intl
12,23,1404,34,1708,8,WN,N214WN,2880,PHX,113,1009,14,4,Southwest Airlines Co.,Phoenix Sky Harbor Intl
12,24,1319,-6,1553,-14,DL,N333NB,824,SLC,83,630,13,19,Delta Air Lines Inc.,Salt Lake City Intl
11,23,1629,24,1744,14,WN,N687SW,4393,SMF,63,479,16,29,Southwest Airlines Co.,Sacramento Intl
7,10,1233,-2,1526,16,AS,N536AS,137,ANC,219,1542,12,33,Alaska Airlines Inc.,Ted Stevens Anchorage Intl
11,24,1115,10,1246,1,WN,N403WN,611,OAK,78,543,11,15,Southwest Airlines Co.,Metropolitan Oakland Intl
